Question	Answer	Source	Metadata
tu me paraît vachement en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu paraît vraiment en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'es très en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu as l'air très en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'as l'air très en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu sembles très en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me sembles très en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu paraît très en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu paraît vachement en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu me paraît en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me paraît en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu es en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que t'es en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu as l'air en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que t'as l'air en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu sembles en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu es vachement en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu paraît en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que t'as l'air en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu es vraiment en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'es vraiment en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu as l'air vraiment en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'as l'air vraiment en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu sembles vraiment en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me sembles vraiment en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu me sembles en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu as l'air enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'es vraiment enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'as l'air enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu sembles enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me sembles enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu paraît enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me paraît enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'es enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que t'es enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu es enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que t'as l'air enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu sembles enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu me sembles enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu paraît enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu me paraît enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu me sembles en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu es enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'es très jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'es vachement jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu as l'air vachement jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'as l'air vachement jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu sembles vachement jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me sembles vachement jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu paraît vachement jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu as l'air enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu es très jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu as l'air vraiment enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu as l'air très jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'as l'air très jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu sembles très jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me sembles très jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu paraît très jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me paraît très jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me paraît vachement jovial	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu sembles en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu es vraiment enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me sembles très enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu paraît très enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me paraît très enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu es en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'es en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'as l'air très enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'as l'air en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu as l'air très enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me sembles en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu paraît en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me paraît en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu es en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que t'es en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
qu'est-ce que tu as l'air en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu as l'air en forme	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'as l'air vachement enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'as l'air vraiment enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu sembles vraiment enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me sembles vraiment enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu paraît vraiment enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me paraît vraiment enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu es vachement enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu sembles très enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu as l'air vachement enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me paraît très en forme aujourd'hui	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu sembles vachement enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me sembles vachement enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu paraît vachement enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu me paraît vachement enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu es très enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'es très enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
t'es vachement enthousiaste	C'est une belle journée.	qna_chitchat_Friendly	editorial:chitchat
tu peux sentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive des fois de sentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive des fois de sentir le besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive des fois de ressentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive des fois de ressentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive des fois de ressentir le besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive parfois de ressentir le besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux sentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive parfois de ressentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux ressentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux ressentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux ressentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois sentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois sentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois sentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois ressentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux sentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive de sentir le besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive parfois d'avoir faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive parfois d'avoir envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive parfois d'avoir besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive des fois d'avoir faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive des fois d'avoir envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive des fois d'avoir besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive des fois de sentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive de sentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux des fois sentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive de ressentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive de ressentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive de ressentir le besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive parfois de sentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive parfois de sentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive parfois de sentir le besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive parfois de ressentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive de sentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux avoir envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux des fois sentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux des fois sentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux des fois ressentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux des fois ressentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux des fois ressentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux avoir faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois ressentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux avoir envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux parfois ressentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux avoir besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux avoir besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois avoir faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois avoir la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois avoir envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois avoir envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois avoir besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux avoir la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux ressentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive d'avoir faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux des fois sentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux des fois sentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux des fois ressentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux des fois ressentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux des fois ressentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux sentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux des fois sentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux sentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux parfois ressentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux ressentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux ressentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux parfois sentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux parfois sentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux parfois sentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux parfois ressentir la faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux parfois ressentir le besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu peux sentir l'envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as parfois besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as parfois faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as parfois la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as parfois envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as des fois besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as parfois besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as des fois faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as des fois la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as des fois envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as des fois envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as des fois besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive d'avoir besoin de manger	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as parfois envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as parfois besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as parfois faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as parfois la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as parfois envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as parfois besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as des fois faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as des fois la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as des fois envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as des fois envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as des fois besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu as parfois envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as parfois besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as parfois faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as parfois la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as parfois envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
t'as des fois besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as parfois besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as des fois faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as des fois la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as des fois envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as des fois envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as des fois besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as des fois besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
tu peux des fois avoir la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as parfois envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as parfois besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as parfois faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as parfois la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as parfois envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as parfois besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que t'as la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as des fois faim 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as des fois la dalle 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as des fois envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as des fois envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as des fois besoin de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as des fois besoin de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce qu'il t'arrive d'avoir envie de manger 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as parfois envie de bouffer 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
est-ce que tu as déjà goûté une crêpe 	Je ne mange pas, mais j'ai soif de connaissances.	qna_chitchat_Friendly	editorial:chitchat
